Site,Year,Date,Plot,Location,Snow_cover,Water_cover,Land_cover,Total_cover,Observer,Notes
barr,2011,8-Jun-11,brw3,d8,50,25,25,100,jcunningham,NA
barr,2011,8-Jun-11,brw3,f12,60,20,20,100,jcunningham,NA
barr,2011,8-Jun-11,brw3,h12,50,25,25,100,jcunningham,NA
barr,2011,8-Jun-11,brw3,j10,70,15,15,100,jcunningham,NA
barr,2011,8-Jun-11,brw5,b4,40,30,30,100,jcunningham,NA
barr,2011,8-Jun-11,brw5,j8,40,30,30,100,jcunningham,NA
barr,2011,8-Jun-11,brw6,f8,100,0,0,100,pherzog,NA
barr,2011,8-Jun-11,brw6,l10,100,0,0,100,pherzog,NA
barr,2011,8-Jun-11,brw8,f4,20,40,40,100,pherzog,NA
barr,2011,8-Jun-11,brw8,l12,0,50,50,100,pherzog,NA
barr,2011,10-Jun-11,brw8,h12,20,40,40,100,abankert,NA
barr,2011,10-Jun-11,brw1,b12,20,40,40,100,jcunningham,NA
barr,2011,10-Jun-11,brw3,d8,40,30,30,100,pherzog,NA
barr,2011,10-Jun-11,brw3,f12,60,20,20,100,pherzog,NA
barr,2011,10-Jun-11,brw3,h12,40,30,30,100,pherzog,NA
barr,2011,10-Jun-11,brw3,h2,80,10,10,100,pherzog,NA
barr,2011,10-Jun-11,brw3,j8,20,40,40,100,pherzog,NA
barr,2011,10-Jun-11,brw5,b4,80,10,10,100,pherzog,NA
barr,2011,10-Jun-11,brw5,l12,80,10,10,100,pherzog,NA
barr,2011,12-Jun-11,brw3,f10,20,40,40,100,jcunningham,NA
barr,2011,12-Jun-11,brw3,h4,50,25,25,100,jcunningham,NA
barr,2011,12-Jun-11,brw8,h2,0,50,50,100,pherzog,NA
barr,2011,12-Jun-11,brw8,l10,0,50,50,100,pherzog,NA
barr,2011,14-Jun-11,brw1,f2,20,40,40,100,jcunningham,NA
barr,2011,14-Jun-11,brw1,f8,10,45,45,100,jcunningham,NA
barr,2011,14-Jun-11,brw8,f10,0,50,50,100,jzamudio,NA
barr,2011,14-Jun-11,brw3,h10,40,30,30,100,pherzog,NA
barr,2011,14-Jun-11,brw3,h2,40,30,30,100,pherzog,NA
barr,2011,14-Jun-11,brw3,h4,40,30,30,100,pherzog,NA
barr,2011,14-Jun-11,brw3,j10,60,20,20,100,pherzog,NA
barr,2011,14-Jun-11,brw5,b6,20,40,40,100,pherzog,NA
barr,2011,14-Jun-11,brw5,l12,60,20,20,100,pherzog,NA
barr,2011,21-Jun-11,brw8,f4,0,50,50,100,abankert,NA
barr,2011,21-Jun-11,brw1,d4,0,50,50,100,jcunningham,NA
barr,2011,21-Jun-11,brw5,b10,0,50,50,100,pherzog,NA
barr,2011,21-Jun-11,brw5,b2,0,50,50,100,pherzog,NA
barr,2011,21-Jun-11,brw5,l8,0,50,50,100,pherzog,NA
barr,2011,29-Jun-11,brw6,j12,0,50,50,100,jzamudio,NA
barr,2011,29-Jun-11,brw1,b10,0,50,50,100,pherzog,NA
barr,2011,5-Jul-11,brw1,b10,0,50,50,100,abankert,NA
barr,2011,5-Jul-11,brw1,d12,0,50,50,100,abankert,NA
barr,2011,5-Jul-11,brw6,f8,0,50,50,100,jzamudio,NA
barr,2011,5-Jul-11,brw8,h12,0,50,50,100,jzamudio,NA
barr,2011,5-Jul-11,brw8,h2,0,50,50,100,jzamudio,NA
barr,2011,12-Jul-11,brw6,d8,0,50,50,100,jzamudio,NA
barr,2011,19-Jul-11,brw3,b10,0,50,50,100,jcunningham,NA
barr,2011,19-Jul-11,brw3,d12,0,50,50,100,jcunningham,NA
barr,2011,19-Jul-11,brw3,l8,0,50,50,100,jcunningham,NA
barr,2011,19-Jul-11,brw6,d8,0,50,50,100,jzamudio,NA
barr,2011,19-Jul-11,brw8,h2,0,50,50,100,jzamudio,NA
barr,2011,26-Jul-11,brw6,j10,0,50,50,100,jzamudio,NA
barr,2011,26-Jul-11,brw8,h4,0,50,50,100,jzamudio,NA
barr,2012,29-May-12,brw2,d2,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw2,f6,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw2,h12,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw2,j2,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw2,j4,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw2,l10,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw2,l12,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw2,l2,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw2,l4,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,b10,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,b12,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,b2,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,b4,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,b8,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,d10,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,d4,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,d6,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,d8,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,f10,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,f12,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,f2,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,f8,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,h10,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,h12,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,h2,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,h4,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,h8,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,j10,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,j2,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,j4,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,l10,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,l2,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,l4,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,l6,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw3,l8,100,0,0,100,bverheijen,NA
barr,2012,29-May-12,brw6,b6,100,0,0,100,jcunningham,NA
barr,2012,29-May-12,brw6,f8,100,0,0,100,jcunningham,NA
barr,2012,29-May-12,brw6,j10,100,0,0,100,jcunningham,NA
barr,2012,29-May-12,brw6,l10,100,0,0,100,jcunningham,NA
barr,2012,29-May-12,brw5,b12,100,0,0,100,"jcunningham,bverheijen",NA
barr,2012,29-May-12,brw5,b2,100,0,0,100,"jcunningham,bverheijen",NA
barr,2012,29-May-12,brw5,b4,100,0,0,100,"jcunningham,bverheijen",NA
barr,2012,29-May-12,brw5,b6,100,0,0,100,"jcunningham,bverheijen",NA
barr,2012,29-May-12,brw5,d12,100,0,0,100,"jcunningham,bverheijen",NA
barr,2012,29-May-12,brw5,d2,100,0,0,100,"jcunningham,bverheijen",NA
barr,2012,29-May-12,brw5,d4,100,0,0,100,"jcunningham,bverheijen",NA
barr,2012,29-May-12,brw5,d8,100,0,0,100,"jcunningham,bverheijen",NA
barr,2012,29-May-12,brw5,f12,100,0,0,100,"jcunningham,bverheijen",NA
barr,2012,29-May-12,brw5,f2,100,0,0,100,"jcunningham,bverheijen",NA
barr,2012,29-May-12,brw5,f4,100,0,0,100,"jcunningham,bverheijen",NA
barr,2012,29-May-12,brw5,f8,100,0,0,100,"jcunningham,bverheijen",NA
barr,2012,29-May-12,brw5,h10,100,0,0,100,"jcunningham,bverheijen",NA
barr,2012,29-May-12,brw5,h2,100,0,0,100,"jcunningham,bverheijen",NA
barr,2012,29-May-12,brw5,h4,100,0,0,100,"jcunningham,bverheijen",NA
barr,2012,29-May-12,brw5,h8,100,0,0,100,"jcunningham,bverheijen",NA
barr,2012,29-May-12,brw5,j4,100,0,0,100,"jcunningham,bverheijen",NA
barr,2012,29-May-12,brw5,l2,100,0,0,100,"jcunningham,bverheijen",NA
barr,2012,29-May-12,brw5,l4,100,0,0,100,"jcunningham,bverheijen",NA
barr,2012,29-May-12,brw1,b10,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,b12,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,b2,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,b4,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,b6,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,b8,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,d10,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,d12,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,d2,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,d4,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,d6,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,d8,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,f10,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,f12,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,f2,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,f4,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,f6,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,f8,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,h10,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,h12,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,h2,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,h4,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,h6,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,h8,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,j10,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,j12,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,j2,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,j4,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,j6,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,j8,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,l10,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,l12,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,l4,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,l6,100,0,0,100,kgrond,NA
barr,2012,29-May-12,brw1,l8,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw3,b4,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw3,b8,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw3,d10,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw3,d2,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw3,d4,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw3,d8,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw3,f10,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw3,f12,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw3,f2,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw3,f4,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw3,f8,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw3,h10,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw3,h2,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw3,h4,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw3,h8,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw3,j10,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw3,j2,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw3,j4,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw3,l10,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw3,l2,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw3,l4,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw3,l6,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw6,d6,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw6,h8,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw6,j10,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw6,l10,100,0,0,100,bverheijen,NA
barr,2012,31-May-12,brw5,b2,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw5,b4,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw5,b6,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw5,b8,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw5,d12,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw5,d2,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw5,d4,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw5,f10,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw5,f12,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw5,f2,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw5,f4,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw5,f6,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw5,f8,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw5,h10,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw5,h2,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw5,h4,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw5,h6,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw5,h8,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw5,j10,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw5,j12,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw5,j4,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw5,l2,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw5,l4,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw8,b2,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw8,d2,30,35,35,100,kgrond,NA
barr,2012,31-May-12,brw8,h4,100,0,0,100,kgrond,NA
barr,2012,31-May-12,brw1,b10,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,b12,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,b2,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,b4,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,b6,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,b8,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,d10,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,d12,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,d2,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,d4,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,d6,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,d8,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,f10,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,f12,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,f2,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,f4,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,f6,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,f8,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,h10,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,h12,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,h2,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,h4,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,h6,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,h8,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,j10,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,j12,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,j4,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,j6,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,j8,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,l10,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,l12,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,l6,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw1,l8,100,0,0,100,rlanctot,NA
barr,2012,31-May-12,brw2,l10,100,0,0,100,rlanctot,NA
barr,2012,2-Jun-12,brw6,b6,100,0,0,100,bhill,NA
barr,2012,2-Jun-12,brw6,d6,100,0,0,100,bhill,NA
barr,2012,2-Jun-12,brw6,f8,100,0,0,100,bhill,NA
barr,2012,2-Jun-12,brw6,h8,100,0,0,100,bhill,NA
barr,2012,2-Jun-12,brw6,j10,100,0,0,100,bhill,NA
barr,2012,2-Jun-12,brw6,l10,100,0,0,100,bhill,NA
barr,2012,2-Jun-12,brw1,b10,100,0,0,100,pherzog,NA
barr,2012,2-Jun-12,brw1,b6,100,0,0,100,pherzog,NA
barr,2012,2-Jun-12,brw1,b8,100,0,0,100,pherzog,NA
barr,2012,2-Jun-12,brw1,d12,100,0,0,100,pherzog,NA
barr,2012,2-Jun-12,brw1,d8,100,0,0,100,pherzog,NA
barr,2012,2-Jun-12,brw1,f2,100,0,0,100,pherzog,NA
barr,2012,2-Jun-12,brw1,f6,100,0,0,100,pherzog,NA
barr,2012,2-Jun-12,brw1,h10,100,0,0,100,pherzog,NA
barr,2012,2-Jun-12,brw1,h4,100,0,0,100,pherzog,NA
barr,2012,2-Jun-12,brw1,h8,100,0,0,100,pherzog,NA
barr,2012,2-Jun-12,brw1,j10,100,0,0,100,pherzog,NA
barr,2012,2-Jun-12,brw1,j12,100,0,0,100,pherzog,NA
barr,2012,2-Jun-12,brw1,j8,100,0,0,100,pherzog,NA
barr,2012,2-Jun-12,brw1,l10,100,0,0,100,pherzog,NA
barr,2012,2-Jun-12,brw1,l12,100,0,0,100,pherzog,NA
barr,2012,2-Jun-12,brw1,l8,100,0,0,100,pherzog,NA
barr,2012,2-Jun-12,brw3,f10,100,0,0,100,pherzog,NA
barr,2012,2-Jun-12,brw3,j4,100,0,0,100,pherzog,NA
barr,2012,2-Jun-12,brw5,b2,100,0,0,100,pherzog,NA
barr,2012,2-Jun-12,brw5,f2,100,0,0,100,pherzog,NA
barr,2012,4-Jun-12,brw3,b10,100,0,0,100,bverheijen,NA
barr,2012,4-Jun-12,brw3,b8,100,0,0,100,bverheijen,NA
barr,2012,4-Jun-12,brw3,d10,100,0,0,100,bverheijen,NA
barr,2012,4-Jun-12,brw3,d8,100,0,0,100,bverheijen,NA
barr,2012,4-Jun-12,brw3,f2,100,0,0,100,bverheijen,NA
barr,2012,4-Jun-12,brw3,f4,100,0,0,100,bverheijen,NA
barr,2012,4-Jun-12,brw3,f8,100,0,0,100,bverheijen,NA
barr,2012,4-Jun-12,brw3,h10,100,0,0,100,bverheijen,NA
barr,2012,4-Jun-12,brw3,h2,100,0,0,100,bverheijen,NA
barr,2012,4-Jun-12,brw3,h4,100,0,0,100,bverheijen,NA
barr,2012,4-Jun-12,brw3,j2,100,0,0,100,bverheijen,NA
barr,2012,4-Jun-12,brw3,j4,100,0,0,100,bverheijen,NA
barr,2012,4-Jun-12,brw3,l2,100,0,0,100,bverheijen,NA
barr,2012,4-Jun-12,brw5,b2,100,0,0,100,bverheijen,NA
barr,2012,4-Jun-12,brw5,d2,100,0,0,100,bverheijen,NA
barr,2012,4-Jun-12,brw5,d4,100,0,0,100,bverheijen,NA
barr,2012,4-Jun-12,brw5,f2,100,0,0,100,bverheijen,NA
barr,2012,4-Jun-12,brw1,b12,100,0,0,100,mmcconnell,NA
barr,2012,4-Jun-12,brw1,f2,100,0,0,100,mmcconnell,NA
barr,2012,4-Jun-12,brw1,f4,100,0,0,100,mmcconnell,NA
barr,2012,4-Jun-12,brw1,h4,100,0,0,100,mmcconnell,NA
barr,2012,4-Jun-12,brw1,h8,100,0,0,100,mmcconnell,NA
barr,2012,4-Jun-12,brw1,j12,100,0,0,100,mmcconnell,NA
barr,2012,4-Jun-12,brw1,l6,90,5,5,100,mmcconnell,NA
barr,2012,4-Jun-12,brw6,d6,100,0,0,100,pherzog,NA
barr,2012,4-Jun-12,brw6,h8,100,0,0,100,pherzog,NA
barr,2012,4-Jun-12,brw6,l10,100,0,0,100,pherzog,"water cover estimates suspect, may be swapped with land."
barr,2012,6-Jun-12,brw1,b10,100,0,0,100,bverheijen,NA
barr,2012,6-Jun-12,brw1,b12,100,0,0,100,bverheijen,NA
barr,2012,6-Jun-12,brw1,b8,100,0,0,100,bverheijen,NA
barr,2012,6-Jun-12,brw1,d10,100,0,0,100,bverheijen,NA
barr,2012,6-Jun-12,brw1,d12,100,0,0,100,bverheijen,NA
barr,2012,6-Jun-12,brw1,d8,100,0,0,100,bverheijen,NA
barr,2012,6-Jun-12,brw1,f2,100,0,0,100,bverheijen,NA
barr,2012,6-Jun-12,brw1,f4,100,0,0,100,bverheijen,NA
barr,2012,6-Jun-12,brw1,f8,100,0,0,100,bverheijen,NA
barr,2012,6-Jun-12,brw1,h10,100,0,0,100,bverheijen,NA
barr,2012,6-Jun-12,brw1,h4,100,0,0,100,bverheijen,NA
barr,2012,6-Jun-12,brw1,h8,100,0,0,100,bverheijen,NA
barr,2012,6-Jun-12,brw1,j10,100,0,0,100,bverheijen,NA
barr,2012,6-Jun-12,brw1,j12,100,0,0,100,bverheijen,NA
barr,2012,6-Jun-12,brw1,j8,100,0,0,100,bverheijen,NA
barr,2012,6-Jun-12,brw1,l10,100,0,0,100,bverheijen,NA
barr,2012,6-Jun-12,brw1,l12,100,0,0,100,bverheijen,NA
barr,2012,6-Jun-12,brw1,l8,100,0,0,100,bverheijen,NA
barr,2012,6-Jun-12,brw2,j2,100,0,0,100,kgrond,NA
barr,2012,6-Jun-12,brw6,d6,100,0,0,100,mmcconnell,NA
barr,2012,6-Jun-12,brw6,d8,80,10,10,100,mmcconnell,NA
barr,2012,6-Jun-12,brw6,f8,100,0,0,100,mmcconnell,NA
barr,2012,6-Jun-12,brw6,h8,100,0,0,100,mmcconnell,NA
barr,2012,6-Jun-12,brw6,l10,100,0,0,100,mmcconnell,NA
barr,2012,6-Jun-12,brw8,j4,0,50,50,100,mmcconnell,NA
barr,2012,6-Jun-12,brw3,b10,100,0,0,100,pherzog,NA
barr,2012,6-Jun-12,brw3,d10,100,0,0,100,pherzog,NA
barr,2012,6-Jun-12,brw3,f10,100,0,0,100,pherzog,NA
barr,2012,6-Jun-12,brw3,h10,100,0,0,100,pherzog,NA
barr,2012,6-Jun-12,brw3,h2,100,0,0,100,pherzog,NA
barr,2012,6-Jun-12,brw3,j2,100,0,0,100,pherzog,NA
barr,2012,6-Jun-12,brw5,b2,100,0,0,100,pherzog,NA
